Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,MPN,MFN,PurchasingLink,Package,Purchasing Link
1,"Capacitor, 0.1uF, 50V, 5%, 0805",C_0.1uF,C5,C_0.01uF,C_0805_OEM,1,http://datasheets.avx.com/X7RDielectric.pdf,478-3352-1-ND,DK,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21B103KBCSFNC/1276-2439-1-ND/3890525,,
2,"Capacitor, 0.1uF, 50V, 5%, 0805",C_0.1uF,C1 C7 C8 C9 C10,C_0.1uF,C_0805_OEM,5,http://datasheets.avx.com/X7RDielectric.pdf,478-3352-1-ND,DK Digi-Key,https://www.digikey.com/products/en?keywords=478-3352-1-ND,Value,
3,"Capacitor, 100pF, 50V, 5%, 0805",C_100pF,C4,C_100pF,C_0805_OEM,1,https://content.kemet.com/datasheets/KEM_C1003_C0G_SMD.pdf,399-1122-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/kemet/C0805C101J5GACTU/399-1122-1-ND/411397,Value,
4,"Capacitor, 2.2uF, 10V, 10%, 0603",C_2.2uF,C6,C_2.2uF,R_0805_OEM,1,http://www.yageo.com/documents/recent/UPY-GPHC_X5R_4V-to-50V_25.pdf,311-1451-1-ND,DK,https://www.digikey.com/product-detail/en/taiyo-yuden/EMK212BJ225KGHT/587-3323-1-ND/4157368,,
5,"Capacitor, 30pF, 50V, 5%, 0805",C_30pF,C2 C3,C_30pF,C_0805_OEM,2,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL_Series_MLCC_ds.pdf,1276-1130-1-ND,DK,https://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL21C300JBANNNC/1276-1130-1-ND/3889216,,
6,"LED, Green, 2.2V, 20mA, 0805",LED_0805,D1 D2,LED_0805,LED_0805_OEM,2,http://www.osram-os.com/Graphics/XPic9/00078860_0.pdf,475-1410-1-ND,DK,https://www.digikey.com/products/en?keywords=475-1410-1-ND,,
7,Fuse,Fuse,F1,Fuse_1A,R_0805_OEM,1,https://industrial.panasonic.com/cdbs/www-data/pdf/AFA0000/AFA0000C7.pdf,,,,,
8,"Generic connector, single row, 01x20, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x20_Female,J1,Conn_01x20_Female,Pin_Header_Straight_2x10,1,~,,,,,
9,"Generic connector, double row, 02x03, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_02x03_Odd_Even,J2,Conn_02x03_Odd_Even,Pin_Header_Straight_2x03,1,~,,,,,
10,,CONN_02X03-formula,P1,CONN_02X03,Pin_Header_Straight_2x03,1,http://portal.fciconnect.com/Comergent//fci/drawing/67996.pdf,609-3234-ND,Digi-Key,https://www.digikey.com/product-detail/en/amphenol-fci/67997-206HLF/609-3234-ND/1878491,Value,
11,,R_100,R28,R_100,R_0805_OEM,1,https://www.seielect.com/Catalog/SEI-rncp.pdf,RNCP0805FTD100RCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=RNCP0805FTD100RCT-ND,Value,
12,,R_100K,R6 R8 R10 R11 R18 R20 R22 R23,R_100K,R_0805_OEM,8,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,P100KCCT-ND,DK,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1003V/P100KCCT-ND/119551,,
13,,R_10K,R1 R2 R7 R9 R19 R21 R29 R30,R_10K,R_0805_OEM,8,http://www.bourns.com/data/global/pdfs/CRS.pdf,CRS0805-FX-1002ELFCT-ND,DK,https://www.digikey.com/products/en?keywords=CRS0805-FX-1002ELFCT-ND,,
14,,R_10k-formula,R27,R_10k,R_0805_OEM,1,http://www.bourns.com/data/global/pdfs/CRS.pdf,CRS0805-FX-1002ELFCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=CRS0805-FX-1002ELFCT-ND,Value,
15,,R_1M,R4 R5 R16 R17,R_1M,R_0805_OEM,4,https://www.seielect.com/Catalog/SEI-rncp.pdf,RMCF0805JT1M00CT-ND,DK,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT1M00/RMCF0805JT1M00CT-ND/1942600,,
16,,R_200,R3 R12 R13 R14 R15 R24 R25,R_200,R_0805_OEM,7,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,RMCF0805JT200RCT-ND,DK,https://www.digikey.com/products/en?keywords=RMCF0805JT200RCT-ND,,
17,,R_1K,R26,R_47K,R_0805_OEM,1,https://www.seielect.com/Catalog/SEI-rncp.pdf,RNCP0805FTD1K00CT-ND,DK,https://www.digikey.com/products/en?keywords=RNCP0805FTD1K00CT-ND,,
18,,ATmega328P-PU-MCU_Microchip_ATmega,U10,ATmega328P-PU,ATMEGA_328PB_CONN,1,http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf,,,,,
19,,DRV8834-formula,U9,DRV8834,DRV8834PWP,1,www.ti.com/lit/ds/symlink/drv8834.pdf,,,,,https://www.digikey.com/product-detail/en/texas-instruments/DRV8834PWP/296-30428-5-ND/3088200
20,"1A Low Dropout regulator, positive, 5.0V fixed output, SOT-223",AMS1117-5.0,U5,L78M05CDT-TR ,L78M05CDT-TR,1,www.st.com/content/ccc/resource/technical/document/datasheet/d7/5f/dc/5c/d5/b6/48/7c/CD00000447.pdf/files/CD00000447.pdf/jcr:content/translations/en.CD00000447.pdf,,,,,
21,,LIS3DHTR-formula,U2,LIS3DHTR,LIS3DHTR,1,,,,,,
22,"Linear regulator, 30V max input, 3.3V output, 100mA",LM3480,U6,LM3480,SOT-23,1,http://www.ti.com/lit/ds/symlink/lm3480.pdf,LM3480IM3-3.3CT-ND,DK,https://www.digikey.com/product-detail/en/texas-instruments/LM3480IM3-3.3/LM3480IM3-3.3CT-ND/3701583,,
23,,LM358DT-formula,U3 U4,LM358DT,SO-8_5.3x6.2mm_Pitch1.27mm,2,www.st.com/content/ccc/resource/technical/document/datasheet/61/46/87/01/98/ed/44/c5/CD00000464.pdf/files/CD00000464.pdf/jcr:content/translations/en.CD00000464.pdf,,,https://www.digikey.com/product-detail/en/stmicroelectronics/LM358DT/497-1591-1-ND/592083,,
24,"Quad CMOS Rail-to-Rail Input and Output Operational Amplifier, DIP-14/SOIC-14",LMC6484,U1,LMC6484,SOIC-14_3.9x8.7mm_Pitch1.27mm,1,http://www.ti.com/lit/ds/symlink/lmc6484.pdf,,,,,
25,,SN74LV4052APWR-formula,U7 U8,SN74LV4052APWR,TSSOP-16_4.4x5mm_Pitch0.65mm,2,www.ti.com/lit/ds/symlink/sn74lv4052a.pdf,,,,,https://www.digikey.com/product-detail/en/texas-instruments/SN74LV4052APWR/296-3831-1-ND/390425
26,CRYSTAL 16.0000MHZ 18PF SMD,Crystal_SMD,Y1,Crystal_SMD,Crystal_SMD_FA238,1,http://www.txccorp.com/download/products/quartz_crystals/2015TXC_7M_17.pdf,887-1125-1-ND,DK,https://www.digikey.com/product-detail/en/txc-corporation/7M-16.000MAAJ-T/887-1125-1-ND/2119014,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Groups:,26,,,,,,,,,,,
Component Count:,57,,,,,,,,,,,
Fitted Components:,57,,,,,,,,,,,
Number of PCBs:,1,,,,,,,,,,,
Total components:,57,,,,,,,,,,,
Schematic Version:,,,,,,,,,,,,
Schematic Date:,,,,,,,,,,,,
BoM Date:,Wed 21 Nov 2018 11:47:25 PM EST,,,,,,,,,,,
Schematic Source:,/home/utsav22g/Olin Stuff/CrabBots/circuit/circuit.sch,,,,,,,,,,,
KiCad Version:,Eeschema 5.0.1-33cea8e~68~ubuntu18.04.1,,,,,,,,,,,
